title,parent_alias
Screen Printing/T-Shirt Printing,['localservices']
Screen Printing,['localservices']
Scuba Diving,['diving']
Seafood,['restaurants']
Seafood Markets,['gourmet']
Holiday Decorating Services,['homeservices']
Security Services,['professional']
Security Systems,['homeservices']
Self-defense Classes,['fitness']
Self Storage,['localservices']
Senegalese,['african']
Senior Centers,['active']
Septic Services,['localservices']
Service Stations,['auto']
Gas Stations,['auto']
Session Photography,['photographers']
Sewing & Alterations,['localservices']
Sex Therapists,['c_and_mh']
Shanghainese,['chinese']
Shared Office Spaces,['realestate']
Shaved Ice,['food']
Shaved Snow,['food']
Sheds & Outdoor Storage,['homeandgarden']
Shipping Centers,['localservices']
Shoe Repair,['localservices']
Shoe Stores,['fashion']
Shoe Shine,['localservices']
Shopping,[]
Shopping Centers,['shopping']
Shredding Services,['professional']
Shutters,['homeservices']
Sicilian,['italian']
Signmaking,['professional']
Sikh Temples,['religiousorgs']
Silent Disco,['eventservices']
Singaporean,['restaurants']
Skate Parks,['parks']
Skate Shops,['sportgoods']
Skating Rinks,['active']
Skilled Nursing,['health']
Skin Care,['beautysvc']
Ski Resorts,['hotelstravel']
Ski Schools,['specialtyschools']
Ski & Snowboard Shops,['sportgoods']
Skydiving,['active']
Sledding,['active']
Sleep Specialists,['health']
Slovakian,['restaurants']
Smog Check Stations,['auto']
Smokehouse,['food']
Snorkeling,['active']
Snow Removal,['localservices']
Snuggle Services,['localservices']
Social Clubs,['arts']
Social Security Law,['lawyers']
Software Development,['professional']
Solar Installation,['homeservices']
Solar Panel Cleaning,['homeservices']
Somali,['restaurants']
Sommelier Services,['eventservices']
Soul Food,['restaurants']
Soup,['restaurants']
South African,['african']
Southern,['restaurants']
Souvenir Shops,['shopping']
Spanish,['restaurants']
Day Spas,['beautysvc']
Speakeasies,['bars']
Special Education,['education']
Specialty Schools,['education']
Speech Therapists,['health']
Speech Training,['specialtyschools']
Sperm Clinic,['health']
Spine Surgeons,['physicians']
Spiritual Shop,['shopping']
Sporting Goods,['shopping']
Sports Clubs,['active']
Sports Bars,['bars']
Sports Betting,['arts']
Sports Medicine,['physicians']
Sports Psychologists,['c_and_mh']
Professional Sports Teams,['arts']
Sports Wear,"['sportgoods', 'fashion']"
Spray Tanning,['tanning']
Squash,['active']
Sri Lankan,['restaurants']
Stadiums & Arenas,['arts']
Cards & Stationery,['eventservices']
Steakhouses,['restaurants']
Car Stereo Installation,['auto']
Stonemasons,['localservices']
Street Vendors,['food']
Strip Clubs,['adultentertainment']
Structural Engineers,['homeservices']
Stucco Services,['homeservices']
Studio Taping,['arts']
Sugaring,['hairremoval']
Summer Camps,['active']
Sunglasses,['opticians']
Supper Clubs,['restaurants']
Restaurant Supplies,['wholesalers']
Surfing,['active']
Surf Schools,['specialtyschools']
Surf Shop,['fashion']
Surgeons,['physicians']
Sushi Bars,['restaurants']
Swimming Lessons/Schools,['fitness']
Swimming Pools,['active']
Swimwear,['fashion']
Synagogues,['religiousorgs']
Syrian,['restaurants']
Szechuan,['chinese']
Tabletop Games,['shopping']
Tableware,['homeandgarden']
Tacos,['mexican']
Taekwondo,['martialarts']
Tai Chi,['fitness']
Taiwanese,['restaurants']
Talent Agencies,['professional']
Tanning,['beautysvc']
Tanning Beds,['tanning']
Tapas Bars,['restaurants']
Tapas/Small Plates,['restaurants']
Tasting Classes,['education']
Tattoo,['beautysvc']
Tattoo Removal,['physicians']
Taxidermy,['professional']
Taxis,['transport']
Tax Law,['lawyers']
Tax Services,['financialservices']
Traditional Chinese Medicine,['health']
Tea Rooms,['food']
Teacher Supplies,['shopping']
Team Building Activities,['eventservices']
Teeth Whitening,['beautysvc']
Telecommunications,['itservices']
Television Service Providers,['homeservices']
Television Stations,['massmedia']
Tenant and Eviction Law,['professional']
Tennis,['active']
Teppanyaki,['japanese']
Test Preparation,['education']
Tex-Mex,['restaurants']
Thai,['restaurants']
Performing Arts,['arts']
Themed Cafes,['cafes']
Threading Services,['hairremoval']
Thrift Stores,['shopping']
Ticket Sales,['arts']
Tiki Bars,['bars']
Tiling,['homeservices']
Tires,['auto']
Title Loans,['financialservices']
Tobacco Shops,['shopping']
Tours,['hotelstravel']
Towing,['auto']
Town Car Service,['transport']
Town Hall,['publicservicesgovt']
Toxicologists,['physicians']
Toy Stores,['shopping']
American,['restaurants']
Traditional Clothing,['fashion']
Traffic Schools,['specialtyschools']
Traffic Ticketing Law,['lawyers']
Trailer Dealers,['auto']
Trailer Rental,['auto']
Trailer Repair,['auto']
Trains,['transport']
Train Stations,['hotelstravel']
Trampoline Parks,['active']
Translation Services,['professional']
Transmission Repair,['auto']
Transportation,['hotelstravel']
Travel Agents,['travelservices']
Travel Services,['hotelstravel']
Tree Services,['homeservices']
Trinidadian,['caribbean']
Trivia Hosts,['eventservices']
Trophy Shops,['shopping']
Truck Rental,['auto']
Commercial Truck Dealers,['auto']
Commercial Truck Repair,['auto']
Tubing,['active']
Tui Na,['tcm']
Turkish,['restaurants']
Tuscan,['italian']
Tutoring Centers,['education']
TV Mounting,['localservices']
Ukrainian,['restaurants']
Ultrasound Imaging Centers,['health']
Undersea/Hyperbaric Medicine,['physicians']
Uniforms,['shopping']
University Housing,['realestate']
Unofficial Yelp Events,['localflavor']
Urgent Care,['health']
Urologists,['physicians']
Used Bookstore,['shopping']
Used Car Dealers,['auto']
Utilities,['homeservices']
Uzbek,['restaurants']
Vacation Rentals,['hotelstravel']
Vacation Rental Agents,['hotelstravel']
Valet Services,['eventservices']
Vape Shops,['shopping']
Vascular Medicine,['physicians']
Vegan,['restaurants']
Vegetarian,['restaurants']
Vehicle Shipping,['auto']
Vehicle Wraps,['auto']
Venezuelan,['latin']
Venues & Event Spaces,['eventservices']
Vermouth Bars,['bars']
Veterinarians,['pets']
Veterans Organizations,['social_clubs']
Videos & Video Game Rental,['media']
Video/Film Production,['professional']
Video Game Stores,['media']
Videographers,['eventservices']
Vietnamese,['restaurants']
"Used, Vintage & Consignment",['fashion']
Vinyl Records,['media']
Siding,['homeservices']
Virtual Reality Centers,['arts']
Visitor Centers,['travelservices']
Vitamins & Supplements,['shopping']
Vocal Coach,['musicinstrumentservices']
Vocational & Technical School,['specialtyschools']
Waffles,['restaurants']
Waldorf Schools,['education']
Walk-in Clinics,['medcenters']
Walking Tours,['tours']
Wallpapering,['homeservices']
Watch Repair,['localservices']
Watches,['shopping']
Water Delivery,['localservices']
Water Heater Installation/Repair,['homeservices']
Water Parks,['active']
Waterproofing,['homeservices']
Water Purification Services,['homeservices']
Water Stores,['food']
Water Suppliers,['utilities']
Waxing,['hairremoval']
Web Design,['professional']
Wedding Planning,['eventservices']
Wedding Chapels,['eventservices']
Weight Loss Centers,['health']
Well Drilling,['localservices']
Whale Watching Tours,['tours']
Wheel & Rim Repair,['auto']
Whiskey Bars,['bars']
Wholesale Stores,['shopping']
Wholesalers,['professional']
Wigs,['shopping']
Wildlife Control,['localservices']
Wildlife Hunting Ranges,['active']
"Wills, Trusts, & Probates",['estateplanning']
Windows Installation,['homeservices']
Window Washing,['homeservices']
Windshield Installation & Repair,['auto']
Wine Bars,['bars']
Wineries,['arts']
Wine Tasting Classes,['tastingclasses']
Wine Tasting Room,['wineries']
Wine Tours,['tours']
Women's Clothing,['fashion']
Workers Compensation Law,['lawyers']
Wraps,['restaurants']
Yelp Events,['localflavor']
Yoga,['fitness']
Ziplining,['active']
Zoos,['active']
Zorbing,['active']
